,State,Year,Quarter,Brands,User_Count,User_Percentage
170,andaman-&-nicobar-islands,2021,4,OnePlus,2691,3.748955140707718
171,andaman-&-nicobar-islands,2021,4,Apple,1490,2.0757871273335193
172,andaman-&-nicobar-islands,2021,4,Huawei,1459,2.0325996099191976
173,andaman-&-nicobar-islands,2021,4,Tecno,1417,1.9740874895514071
174,andaman-&-nicobar-islands,2021,4,Motorola,1055,1.4697687378099749
175,andaman-&-nicobar-islands,2021,4,Others,4572,6.369462245750905
176,andaman-&-nicobar-islands,2022,1,Vivo,18688,24.496644295302016
177,andaman-&-nicobar-islands,2022,1,Xiaomi,17957,23.53843330536913
178,andaman-&-nicobar-islands,2022,1,Samsung,12955,16.981700922818792
179,andaman-&-nicobar-islands,2022,1,Realme,6769,8.872955117449663
180,andaman-&-nicobar-islands,2022,1,Oppo,6461,8.469221895973154
181,andaman-&-nicobar-islands,2022,1,OnePlus,3005,3.9390205536912757
182,andaman-&-nicobar-islands,2022,1,Tecno,1770,2.3201552013422817
183,andaman-&-nicobar-islands,2022,1,Apple,1634,2.141883389261745
184,andaman-&-nicobar-islands,2022,1,Huawei,1441,1.8888947147651005
185,andaman-&-nicobar-islands,2022,1,Motorola,1050,1.376363255033557
186,andaman-&-nicobar-islands,2022,1,Others,4558,5.974727348993288
187,andhra-pradesh,2018,1,Xiaomi,836581,25.073985823255256
188,andhra-pradesh,2018,1,Samsung,683687,20.491450493788307
189,andhra-pradesh,2018,1,Vivo,425959,12.76683301113459
190,andhra-pradesh,2018,1,Oppo,304487,9.126077117894768
191,andhra-pradesh,2018,1,Realme,236646,7.092748280357865
192,andhra-pradesh,2018,1,Motorola,129739,3.888534220503829
193,andhra-pradesh,2018,1,OnePlus,129421,3.8790031320715133
194,andhra-pradesh,2018,1,Apple,123274,3.694765394356277
195,andhra-pradesh,2018,1,Lenovo,84138,2.5217821337049857
196,andhra-pradesh,2018,1,Huawei,76654,2.29747186380734
197,andhra-pradesh,2018,1,Others,305864,9.167348529125267
198,andhra-pradesh,2018,2,Xiaomi,1113800,25.299031922481113
199,andhra-pradesh,2018,2,Samsung,903290,20.51747400364335
200,andhra-pradesh,2018,2,Vivo,586965,13.332417195528038
201,andhra-pradesh,2018,2,Oppo,410549,9.32527586347881
202,andhra-pradesh,2018,2,Realme,305964,6.949715391569413
203,andhra-pradesh,2018,2,Motorola,169847,3.857932011974905
204,andhra-pradesh,2018,2,OnePlus,155418,3.5301893906699315
205,andhra-pradesh,2018,2,Apple,151847,3.449077123660432
206,andhra-pradesh,2018,2,Lenovo,107441,2.4404321141886274
207,andhra-pradesh,2018,2,Huawei,102929,2.3379458221844662
208,andhra-pradesh,2018,2,Others,394490,8.960509160620914
209,andhra-pradesh,2018,3,Xiaomi,1385112,25.519707820209124
210,andhra-pradesh,2018,3,Samsung,1103186,20.32542089834268
211,andhra-pradesh,2018,3,Vivo,761793,14.035496609285438
212,andhra-pradesh,2018,3,Oppo,518120,9.545994125967253
213,andhra-pradesh,2018,3,Realme,379712,6.995924730871763
214,andhra-pradesh,2018,3,Motorola,203756,3.75406002302668
215,andhra-pradesh,2018,3,OnePlus,181364,3.3415032785106242
216,andhra-pradesh,2018,3,Apple,175343,3.2305706169024084
217,andhra-pradesh,2018,3,Huawei,134429,2.476759137573635
218,andhra-pradesh,2018,3,Lenovo,122489,2.25677309213233
219,andhra-pradesh,2018,3,Others,462313,8.517789667178063
220,andhra-pradesh,2018,4,Xiaomi,1753802,25.57528652585838
221,andhra-pradesh,2018,4,Samsung,1388061,20.241770616277957
222,andhra-pradesh,2018,4,Vivo,1011185,14.74587559237024
223,andhra-pradesh,2018,4,Oppo,675093,9.844724151643865
224,andhra-pradesh,2018,4,Realme,476746,6.952275998121156
225,andhra-pradesh,2018,4,Motorola,250601,3.6544560780901363
226,andhra-pradesh,2018,4,OnePlus,210161,3.06472896687364
227,andhra-pradesh,2018,4,Apple,209737,3.0585458735216173
228,andhra-pradesh,2018,4,Huawei,176237,2.5700231676424727
229,andhra-pradesh,2018,4,Lenovo,149583,2.1813340869707494
230,andhra-pradesh,2018,4,Others,556203,8.110978942629789
