,State,Year,Quarter,District,Registered_User
248,andhra-pradesh,2021,2,ysr district,1103004
249,andhra-pradesh,2021,2,west godavari district,1339377
250,andhra-pradesh,2021,2,chittoor district,1870723
251,andhra-pradesh,2021,3,east godavari district,2150622
252,andhra-pradesh,2021,3,srikakulam district,902008
253,andhra-pradesh,2021,3,visakhapatnam district,2707931
254,andhra-pradesh,2021,3,prakasam district,1239147
255,andhra-pradesh,2021,3,anantapur district,1606735
256,andhra-pradesh,2021,3,kurnool district,1522196
257,andhra-pradesh,2021,3,guntur district,2110878
258,andhra-pradesh,2021,3,krishna district,2145423
259,andhra-pradesh,2021,3,spsr nellore district,1263550
260,andhra-pradesh,2021,3,vizianagaram district,784444
261,andhra-pradesh,2021,3,ysr district,1183377
262,andhra-pradesh,2021,3,west godavari district,1436576
263,andhra-pradesh,2021,3,chittoor district,2007011
264,andhra-pradesh,2021,4,east godavari district,2294347
265,andhra-pradesh,2021,4,srikakulam district,965335
266,andhra-pradesh,2021,4,visakhapatnam district,2888774
267,andhra-pradesh,2021,4,prakasam district,1325728
268,andhra-pradesh,2021,4,anantapur district,1719437
269,andhra-pradesh,2021,4,kurnool district,1628242
270,andhra-pradesh,2021,4,guntur district,2252443
271,andhra-pradesh,2021,4,krishna district,2288148
272,andhra-pradesh,2021,4,spsr nellore district,1349290
273,andhra-pradesh,2021,4,vizianagaram district,839606
274,andhra-pradesh,2021,4,ysr district,1262963
275,andhra-pradesh,2021,4,west godavari district,1532898
276,andhra-pradesh,2021,4,chittoor district,2141818
277,andhra-pradesh,2022,1,east godavari district,2432305
278,andhra-pradesh,2022,1,srikakulam district,1027283
279,andhra-pradesh,2022,1,visakhapatnam district,3061324
280,andhra-pradesh,2022,1,prakasam district,1408929
281,andhra-pradesh,2022,1,anantapur district,1827094
282,andhra-pradesh,2022,1,kurnool district,1729513
283,andhra-pradesh,2022,1,guntur district,2387051
284,andhra-pradesh,2022,1,krishna district,2423373
285,andhra-pradesh,2022,1,spsr nellore district,1431664
286,andhra-pradesh,2022,1,vizianagaram district,892889
287,andhra-pradesh,2022,1,ysr district,1339782
288,andhra-pradesh,2022,1,west godavari district,1626039
289,andhra-pradesh,2022,1,chittoor district,2270705
290,andhra-pradesh,2022,2,east godavari district,2564165
291,andhra-pradesh,2022,2,srikakulam district,1086164
292,andhra-pradesh,2022,2,visakhapatnam district,3226029
293,andhra-pradesh,2022,2,prakasam district,1487589
294,andhra-pradesh,2022,2,anantapur district,1928213
295,andhra-pradesh,2022,2,kurnool district,1825280
296,andhra-pradesh,2022,2,guntur district,2514794
297,andhra-pradesh,2022,2,krishna district,2552107
298,andhra-pradesh,2022,2,spsr nellore district,1509927
299,andhra-pradesh,2022,2,vizianagaram district,943242
300,andhra-pradesh,2022,2,ysr district,1412848
301,andhra-pradesh,2022,2,west godavari district,1714357
302,andhra-pradesh,2022,2,chittoor district,2392549
303,andhra-pradesh,2022,3,east godavari district,2702234
304,andhra-pradesh,2022,3,srikakulam district,1147016
305,andhra-pradesh,2022,3,visakhapatnam district,3397514
306,andhra-pradesh,2022,3,prakasam district,1567520
307,andhra-pradesh,2022,3,anantapur district,2030824
308,andhra-pradesh,2022,3,kurnool district,1924127
309,andhra-pradesh,2022,3,guntur district,2647100
